authors,#enterseriesname,#enterseriesindex,title,#titleparttwo,series,series_index
"James Lee Burke","Dave Robicheaux","21","Robicheaux_A Novel","","Dave Robicheaux","21.0"
"JL Merrow","","","Pressure Head","","","1.0"
"Iris Blobel","","","Their Bond Through Jade","","","1.0"
"Ilyasah Shabazz","","","Betty Before X","","","1.0"
"Hermione Hoby","","","Neon in Daylight","","","1.0"
"Helenkay Dimon","Jameson Heirs","","Pregnant by the CEO","","Jameson Heirs","1.0"
"Holly Black","","","The Cruel Prince","","","1.0"
"Helen Bianchin","","","Alexei's Passionate Revenge","","","1.0"
"Helen Dickson","","","Carrying the Gentleman's Secret","","","1.0"
"Gordon Korman","","","Supergifted","","","1.0"
"H. Terrell Griffin","","","Vindication","","","1.0"
"Ginger Rue","","","Aleca Zamm Fools Them All","","","1.0"
"Gina Linko","","","Flower Moon","","","1.0"
"Georges Simenon","","","Maigret Goes to School","","","1.0"
"Gary J. Byrne & Grant M. Schmidt","","","Secrets of the Secret Service","","","1.0"
"Gina Ciocca","","","Busted","","","1.0"
"Gail Daley","","","A Year and a Day","","","1.0"
"F. Paul Wilson","ICE Sequence","2","The God Gene_A Novel","","ICE Sequence","2.0"
"F. P. Spirit & K. J. Fogleman","Heroes of Ravenford","4","Princess of Lanfor","","Heroes of Ravenford","4.0"
"F. P. Spirit","Heroes of Ravenford","3","The Dark Monolith","","Heroes of Ravenford","3.0"
"F. P. Spirit","Heroes of Ravenford","2","The Serpent Cult","","Heroes of Ravenford","2.0"
"F. P. Spirit","Heroes of Ravenford","1","The Ruins on Stone Hill","","Heroes of Ravenford","1.0"
"Evangeline Anderson","","","Blood Kiss","","","1.0"
"Evelyn M. Hill","","","His Forgotten Fiancée","","","1.0"
"Ella West","","","Rain Fall","","","1.0"
"Elle Wright","","","It's Always Been You","","","1.0"
"Eileen Wilks","","","Dragon Blood","","","1.0"
"Eliot Schrefer","","","The Lost Rainforest","","","1.0"
"Ed Ifkovic","Edna Ferber Mysteries","9","Mood Indigo","","Edna Ferber Mysteries","9.0"
"Donna Freitas","","","The Mind Virus","","","1.0"
"Donna Gartshore","","","Instant Family","","","1.0"
"Dianne Drake","","","Reunited with Her Army Doc","","","1.0"
"Dianne Drake","","","Healing Her Boss's Heart","","","1.0"
"Diane Vallere","","","Murder on Moon Trek 1","","","1.0"
"Delores Fossen","","","Gunfire on the Ranch","","","1.0"
"Lisa Yee","DC Super Hero Girls","","Harley Quinn at Super Hero High","","DC Super Hero Girls","1.0"
"Marie Lu","","","Batman","","","1.0"
"Dawn Brower","","","Snowflake Kisses","","","1.0"
"Dawn Brower","","","Scandalized by My Prince","","","1.0"
"Dawn Brower","Linked Across Time","7","Separated from My Love","","Linked Across Time","7.0"
"David Robbins","","","Davy Crockett 7","","","1.0"
"David Crossman","","","Storyteller","","","1.0"
"David Housewright","","","Darkness, Sing Me a Song","A Holland Taylor Mystery","","1.0"
"David Crossman","","","Silence the Dead","","","1.0"
"David Crossman","Winston Crisp Mysteries","1","A Show of Hands","","Winston Crisp Mysteries","1.0"
"David Crossman","Caitlyn Craft Mysteries","1","Dead and Breakfast","","Caitlyn Craft Mysteries","1.0"
"David Crossman","Albert Mysteries","3","Coda","","Albert Mysteries","3.0"
"Dani Collins","","","Prince's Son of Scandal","","","1.0"
"Constance Burris","Everleaf Series","1","When Seeds Take Root","","Everleaf Series","1.0"
"Constance Burris","Everleaf Series","3","Jade","","Everleaf Series","3.0"
"Colin Winnette","","","The Job of the Wasp","","","1.0"
"Claudia Carroll","","","A Very Irish Christmas","","","1.0"
"Clarissa Harwood","","","Impossible Saints","","","1.0"
"Christy Barritt","","","The Baby Assignment","","","1.0"
"Christine Warren","","","Something to Howl About","An Alphaville Story","","1.0"
"Chris Bradford","","","Traitor","","","1.0"
"Christi Daugherty","","","The Echo Killing","","","1.0"
